date,"U.S. Field"
2004-03-15,174115
2004-04-15,166810
2004-05-15,172235
2004-06-15,162208
2004-07-15,170011
2004-08-15,165072
2004-09-15,152444
2004-10-15,160270
2004-11-15,162699
2004-12-15,170815
2005-01-15,168831
2005-02-15,154038
2005-03-15,173626
2005-04-15,166885
2005-05-15,173491
2005-06-15,163263
2005-07-15,162854
2005-08-15,161153
2005-09-15,126417
2005-10-15,141200
2005-11-15,145708
2005-12-15,154630
2006-01-15,156480
2006-02-15,140894
2006-03-15,155842
2006-04-15,152450
2006-05-15,159667
2006-06-15,154884
2006-07-15,157919
2006-08-15,156232
2006-09-15,150926
2006-10-15,158353
2006-11-15,151926
2006-12-15,160768
2007-01-15,158342
2007-02-15,143301
2007-03-15,158697
2007-04-15,155407
2007-05-15,161548
2007-06-15,152254
2007-07-15,156175
2007-08-15,154060
2007-09-15,147061
2007-10-15,155680
2007-11-15,151021
2007-12-15,158427
2008-01-15,158566
2008-02-15,149297
2008-03-15,160868
2008-04-15,155403
2008-05-15,159437
2008-06-15,154133
2008-07-15,160481
2008-08-15,155092
2008-09-15,119208
2008-10-15,146868
2008-11-15,152343
2008-12-15,158183
2009-01-15,159467
2009-02-15,146698
2009-03-15,161776
2009-04-15,158344
2009-05-15,166684
2009-06-15,158079
2009-07-15,167336
2009-08-15,167945
2009-09-15,166765
2009-10-15,171258
2009-11-15,161838
2009-12-15,169004
2010-01-15,167529
2010-02-15,155496
2010-03-15,170976
2010-04-15,161769
2010-05-15,167427
2010-06-15,161385
2010-07-15,164234
2010-08-15,168867
2010-09-15,168473
2010-10-15,174547
2010-11-15,167272
2010-12-15,173831
2011-01-15,170393
2011-02-15,151354
2011-03-15,174158
2011-04-15,166858
2011-05-15,174363
2011-06-15,167673
2011-07-15,168635
2011-08-15,175618
2011-09-15,168411
2011-10-15,182977
2011-11-15,181157
2011-12-15,189487
2012-01-15,191472
2012-02-15,181783
2012-03-15,196138
2012-04-15,189601
2012-05-15,197456
2012-06-15,188262
2012-07-15,199368
2012-08-15,196867
2012-09-15,197942
2012-10-15,216057
2012-11-15,212472
2012-12-15,220282
2013-01-15,219570
2013-02-15,200071
2013-03-15,223644
2013-04-15,221205
2013-05-15,227101
2013-06-15,218314
2013-07-15,233174
2013-08-15,233562
2013-09-15,235142
2013-10-15,240567
2013-11-15,237565
2013-12-15,245904
2014-01-15,250240
2014-02-15,228166
2014-03-15,257019
2014-04-15,255597
2014-05-15,267731
2014-06-15,262026
2014-07-15,273952
2014-08-15,276513
2014-09-15,272111
2014-10-15,286760
2014-11-15,279200
2014-12-15,295914
2015-01-15,290697
2015-02-15,265570
2015-03-15,296966
2015-04-15,289565
2015-05-15,293440
2015-06-15,280507
2015-07-15,292509
2015-08-15,291406
2015-09-15,284127
2015-10-15,291219
2015-11-15,279838
2015-12-15,287375
2016-01-15,285472
2016-02-15,262942
2016-03-15,282371
2016-04-15,266390
2016-05-15,274012
2016-06-15,260383
2016-07-15,268728
2016-08-15,269530
2016-09-15,256412
2016-10-15,273066
2016-11-15,267228
2016-12-15,273413
2017-01-15,275124
2017-02-15,254715
2017-03-15,284195
2017-04-15,273158
2017-05-15,284854
2017-06-15,273403
2017-07-15,287049
2017-08-15,287116
2017-09-15,285404
2017-10-15,299677
2017-11-15,302584
2017-12-15,309584
2018-01-15,309990
2018-02-15,287375
2018-03-15,324479
2018-04-15,314798
2018-05-15,323381
2018-06-15,319236
2018-07-15,337984
2018-08-15,353277
2018-09-15,343308
2018-10-15,356755
2018-11-15,356757
2018-12-15,370487
2019-01-15,368063
2019-02-15,326292
2019-03-15,369262
2019-04-15,364329
2019-05-15,376676
2019-06-15,366658
2019-07-15,369109
2019-08-15,387123
2019-09-15,377870
2019-10-15,397088
2019-11-15,389953
2019-12-15,402464
2020-01-15,398830
2020-02-15,373044
2020-03-15,396947
2020-04-15,357550
2020-05-15,301409
2020-06-15,313496
2020-07-15,341432
2020-08-15,328603
2020-09-15,328889
2020-10-15,325240
2020-11-15,336740
2020-12-15,346834
2021-01-15,345823
2021-02-15,278056
2021-03-15,352649
2021-04-15,340660
2021-05-15,354175
2021-06-15,342028
2021-07-15,354035
2021-08-15,350857
2021-09-15,328821
2021-10-15,360845
2021-11-15,356127
2021-12-15,364547
2022-01-15,354968
2022-02-15,321023
2022-03-15,368540
2022-04-15,354887
2022-05-15,364486
2022-06-15,357572
2022-07-15,372277
2022-08-15,376168
2022-09-15,372876
2022-10-15,385700
2022-11-15,374794
2022-12-15,378247
2023-01-15,391843
2023-02-15,353386
2023-03-15,398882
2023-04-15,382025
2023-05-15,394700
2023-06-15,383611
2023-07-15,400286
2023-08-15,402974
2023-09-15,395338
2023-10-15,409614
2023-11-15,399470
2023-12-15,412206
2024-01-15,388037
2024-02-15,380738
2024-03-15,408900
2024-04-15,399415
2024-05-15,410938
2024-06-15,397550
2024-07-15,409579
2024-08-15,415726
2024-09-15,395118
2024-10-15,419427
2024-11-15,401875
2024-12-15,416555
2025-01-15,407352
2025-02-15,370707
2025-03-15,417042
2025-04-15,403968
2025-05-15,416844
2025-06-15,408315
2025-07-15,424926
2025-08-15,428114
2025-09-15,414845
2025-10-15,429777
2025-11-15,413647
2025-12-15,423302
